,label,predict_1000,predict_10000
81721,0,0,0
83672,0,0,0
60485,0,1,0
16700,0,0,0
80068,1,1,1
58209,0,0,0
66530,0,0,0
50517,0,0,0
78825,0,0,0
66286,0,0,0
57574,0,0,0
20325,0,0,0
52316,0,0,0
16280,0,0,0
69492,0,0,0
56029,0,1,0
13449,0,0,0
46355,0,0,0
31143,0,0,0
36572,0,0,0
71790,0,0,0
20895,0,0,0
57809,0,0,0
82216,0,0,0
9986,0,0,0
10211,0,0,0
78831,0,0,0
68665,0,0,0
24233,0,0,0
4686,0,0,0
38027,0,0,0
98311,1,1,1
22225,0,0,0
74761,0,0,0
14610,0,0,0
22780,0,0,0
36637,0,0,0
89069,0,0,0
15751,0,0,0
80091,0,0,0
24939,0,0,0
44567,0,0,0
1414,0,0,0
19007,0,0,0
62985,0,0,0
99528,0,0,0
42115,0,0,0
27239,0,0,0
59406,0,0,0
53045,0,0,0
57097,0,0,0
13952,0,0,0
20443,0,0,0
69105,0,0,0
44531,0,0,0
12959,0,0,0
39047,0,0,0
48581,0,0,0
75033,0,0,0
32491,0,0,0
15978,0,0,0
40005,1,0,0
15385,0,0,0
50611,0,0,0
72397,0,0,0
34721,0,0,0
11572,0,0,0
60987,0,1,1
38897,0,0,0
62149,0,0,0
78990,0,0,0
44918,0,0,0
87469,0,0,0
30080,0,0,0
11073,0,0,0
88779,0,0,0
61606,0,0,0
56287,0,0,0
53599,0,0,0
10719,0,0,0
47889,0,0,0
41943,0,0,0
9299,0,0,0
48846,0,0,0
17159,0,0,0
60544,0,1,1
33001,0,0,0
63920,0,0,0
13740,0,0,0
59864,0,0,0
4338,0,0,0
46919,0,0,0
46774,0,0,0
6072,0,0,0
12222,0,0,0
50079,0,0,0
78650,0,0,0
9061,0,0,0
60670,0,0,0
39554,0,0,0
98083,0,0,0
93470,0,0,0
99572,1,1,1
2092,0,0,0
96756,0,0,0
94548,0,0,0
59710,0,0,0
37517,0,0,0
30787,0,0,0
30436,0,0,0
92141,0,0,0
15449,0,0,0
55058,0,0,0
48203,1,1,1
90650,0,0,0
40755,0,0,0
26580,0,0,0
35153,0,0,0
4451,0,1,1
73943,0,0,0
57212,0,0,0
30838,0,0,0
33655,0,0,0
10112,0,0,0
55981,0,0,0
56120,0,0,0
60484,0,0,0
95882,0,1,1
5056,1,1,1
90496,0,0,0
72653,1,1,1
15562,0,0,0
69987,0,0,0
44820,0,0,1
20471,0,0,0
8905,0,0,0
5161,0,0,0
34535,0,0,0
38816,0,0,0
70723,0,0,0
74406,0,0,0
45698,0,0,0
46768,0,0,0
4227,0,0,0
72418,0,0,0
61560,0,0,0
81866,0,0,0
63156,0,0,0
4449,0,0,0
28624,0,0,0
60497,0,0,0
18402,0,0,0
51174,0,0,0
23301,0,1,1
12316,0,0,0
69361,1,1,1
48941,1,1,1
84485,0,0,0
23913,0,0,0
80928,0,0,0
20399,0,0,0
72815,0,0,0
65802,0,0,0
18801,0,1,0
55858,0,0,0
62801,0,1,1
56429,0,0,0
56539,0,0,0
74268,0,0,0
39336,0,0,0
26489,0,0,0
96323,0,0,0
39832,0,0,0
1326,0,0,0
63183,0,0,0
12382,0,0,0
55278,0,0,0
48540,1,1,1
33871,0,0,0
92797,0,0,0
83843,0,0,0
41868,1,1,0
49935,1,1,1
16000,0,0,0
5818,0,0,0
58964,0,0,0
91579,0,0,0
90781,0,0,0
29392,0,0,0
9807,0,0,0
34971,0,0,0
42770,0,0,0
70980,0,0,0
18398,0,0,0
79199,0,0,0
62588,0,0,0
10969,0,0,0
64403,0,0,0
86031,0,0,0
86081,0,0,0
40333,0,0,0
76147,0,1,0
89470,0,0,0
36530,0,0,0
50077,0,0,0
79949,0,1,0
2920,0,0,0
45145,0,1,1
13233,0,0,0
42231,0,0,0
85848,0,0,0
33933,0,0,0
84572,0,0,0
44267,0,0,0
46026,0,0,0
65965,0,0,0
87181,0,0,0
9038,1,1,1
21698,0,0,0
79755,0,0,0
92943,0,0,0
8477,0,0,0
85179,0,0,0
95950,0,0,0
74950,0,0,0
65878,0,0,0
30958,0,0,0
4260,0,0,0
96676,0,0,0
27723,0,0,0
60337,0,0,0
13160,1,1,1
50295,0,0,0
90864,0,0,0
40747,0,0,0
43090,0,0,0
6626,0,0,0
56613,0,0,0
73754,0,0,0
44221,0,0,0
79021,0,0,0
87591,0,0,0
43954,0,0,0
33260,0,0,0
60118,0,0,0
87598,0,0,0
91458,0,0,0
91173,0,0,0
53111,0,0,0
95362,0,0,0
83823,1,0,0
14686,0,0,0
56457,0,0,0
59288,0,1,1
19178,0,0,0
52905,0,0,0
18245,0,0,0
26391,0,0,0
42482,1,1,1
62278,1,0,0
73191,0,0,0
10323,1,1,1
27621,0,0,0
8457,0,0,0
71208,0,0,0
45067,0,1,0
81237,0,0,0
53352,0,0,0
53616,0,0,0
26357,0,0,0
17337,0,0,0
11614,0,0,0
8731,0,0,0
17905,0,0,0
37200,0,0,0
1196,0,0,0
650,1,1,1
54024,0,0,0
4127,0,0,0
96547,0,0,0
35924,0,0,0
62713,0,0,0
3814,0,0,0
22617,0,0,0
14020,0,0,0
63531,0,0,0
79148,0,0,0
35728,0,1,0
21947,0,0,0
52393,0,0,0
23474,0,0,0
47591,0,1,0
71524,0,0,0
47645,0,0,0
96717,0,0,0
21292,0,0,0
40279,0,0,0
14152,0,0,0
74597,0,0,0
43988,0,1,1
44405,0,0,0
85279,0,0,0
28198,0,0,0
40767,0,0,0
41900,0,0,0
19044,0,0,0
46004,0,0,0
30913,0,0,0
21853,0,0,0
2448,0,0,0
58538,0,0,0
98019,0,0,0
99865,0,0,0
45984,0,0,0
25944,0,0,0
98017,1,1,1
74573,0,0,0
48775,0,0,0
88466,0,0,0
61149,0,0,0
97216,0,0,0
46470,0,0,0
23696,0,0,0
97778,0,0,0
61662,0,0,0
93990,0,0,0
42769,0,0,0
27501,0,0,0
13230,0,0,0
94804,0,0,0
23388,0,0,0
14202,1,1,1
4740,0,0,0
60766,0,0,1
95862,0,0,0
34868,0,0,0
34122,0,0,0
70023,0,0,0
42460,0,0,0
70678,0,0,0
10637,0,0,0
75544,0,0,0
42432,0,0,0
64791,0,0,0
52413,0,0,0
92509,0,1,0
45743,0,0,0
32022,0,0,0
8929,1,0,0
45200,0,1,0
7849,0,0,0
15854,1,1,1
89132,0,1,0
73642,0,0,0
64539,0,0,0
67357,0,0,0
29758,0,0,0
90197,0,0,0
39116,0,0,0
23003,0,0,0
96013,0,0,0
31545,0,0,0
16818,0,0,0
77681,0,0,0
69269,0,0,0
64994,0,0,0
3651,0,0,0
75036,0,0,0
37650,0,0,0
90342,0,0,0
48667,1,1,1
24077,0,0,0
59273,0,0,0
68395,0,0,0
6416,0,0,0
97027,0,0,0
42781,0,0,0
27672,0,0,0
7826,0,0,0
48738,1,0,0
59245,0,0,0
80118,0,0,0
69898,0,0,0
37665,1,0,0
5792,0,0,0
31138,0,0,0
13456,1,1,1
96463,0,0,0
3323,0,0,0
67740,0,0,0
68213,0,0,0
40080,0,0,0
32512,0,0,0
39322,0,0,0
91540,0,0,0
6341,0,0,0
60907,0,0,0
14646,0,0,0
38404,0,0,0
56611,0,0,0
46905,0,0,0
70853,0,0,0
61631,1,1,1
65463,0,0,0
29639,1,0,1
41236,0,0,0
24929,0,0,0
38587,0,0,0
66798,0,0,0
35578,0,0,0
43403,0,1,0
62531,1,1,1
76479,0,0,0
49002,0,0,0
9222,0,0,0
90320,0,0,0
69097,0,0,0
19098,0,1,1
48951,0,0,0
67435,0,0,0
61097,0,0,0
24378,0,0,0
66235,0,0,0
3802,0,1,1
13226,0,0,0
76673,0,0,0
83165,0,0,0
994,0,0,0
38095,0,0,0
4872,0,0,0
71599,0,0,0
97439,0,0,0
68897,0,0,0
62584,0,0,0
43138,0,0,0
62431,0,0,0
25905,1,1,1
76209,0,0,0
38666,0,0,0
47320,0,0,0
18965,0,1,1
37222,0,0,0
13725,0,0,0
41325,0,0,0
34844,0,0,0
74783,0,0,0
95205,0,0,0
14745,0,0,0
99532,0,0,0
37850,0,0,0
44637,0,0,0
68686,0,0,0
1713,0,0,0
79586,0,0,0
70843,0,0,0
81372,1,1,1
62213,0,0,0
22985,0,0,0
68712,0,0,0
75865,0,0,0
13005,0,0,0
89326,1,1,1
47572,0,0,0
73157,0,1,0
21970,0,1,0
8791,0,0,1
1260,0,1,0
31233,0,0,0
36056,0,0,0
46740,0,0,0
63096,0,0,0
94349,0,0,0
12085,0,0,0
22145,0,0,0
20,0,0,0
9599,0,0,0
53752,0,0,0
